Time,Open,High,Low,Close,Adj Close,Volume
1/9/2017,0.006239,0.006294,0.006127,0.006167,0.006167,702255
1/10/2017,0.006157,0.006815,0.006148,0.006698,0.006698,2510530
1/11/2017,0.006708,0.006721,0.006312,0.006411,0.006411,3436270
1/12/2017,0.006417,0.006851,0.006351,0.006423,0.006423,5013190
1/13/2017,0.006434,0.006664,0.006396,0.006596,0.006596,2059340
1/14/2017,0.00661,0.006872,0.006585,0.006863,0.006863,1307810
1/15/2017,0.006867,0.006925,0.006726,0.006726,0.006726,780822
1/16/2017,0.006747,0.006836,0.006717,0.006788,0.006788,699284
1/17/2017,0.006772,0.006848,0.006612,0.0068,0.0068,1842150
1/18/2017,0.00679,0.007125,0.006659,0.006709,0.006709,1342730
1/19/2017,0.006713,0.00704,0.006671,0.007034,0.007034,760684
1/20/2017,0.007032,0.00716,0.00661,0.006675,0.006675,620052
1/21/2017,0.006694,0.006824,0.006678,0.006706,0.006706,553724
1/22/2017,0.006706,0.006759,0.006653,0.006713,0.006713,362422
1/23/2017,0.006718,0.006735,0.006662,0.006697,0.006697,309838
1/24/2017,0.006708,0.006718,0.006534,0.00654,0.00654,509262
1/25/2017,0.006527,0.006594,0.00649,0.006513,0.006513,522497
1/26/2017,0.006511,0.007073,0.006425,0.00669,0.00669,1446950
1/27/2017,0.006686,0.006815,0.006331,0.006415,0.006415,924745
1/28/2017,0.006409,0.006419,0.006323,0.006342,0.006342,241491
1/29/2017,0.006356,0.006493,0.006287,0.006402,0.006402,325176
1/30/2017,0.006402,0.006468,0.006353,0.006381,0.006381,391822
1/31/2017,0.00639,0.006411,0.006297,0.006314,0.006314,661444
2/1/2017,0.006311,0.006642,0.006249,0.00654,0.00654,1836820
2/2/2017,0.00654,0.00663,0.006381,0.006469,0.006469,670888
2/3/2017,0.006466,0.00651,0.006401,0.006474,0.006474,548263
2/4/2017,0.006487,0.006528,0.006429,0.006492,0.006492,314187
2/5/2017,0.006494,0.006563,0.006403,0.006442,0.006442,367001
2/6/2017,0.006439,0.006494,0.006397,0.00645,0.00645,386766
2/7/2017,0.006437,0.006509,0.006378,0.006407,0.006407,945440
2/8/2017,0.006407,0.007833,0.006402,0.006438,0.006438,860217
2/9/2017,0.006433,0.006484,0.006193,0.006374,0.006374,1700680
2/10/2017,0.006367,0.0067,0.006192,0.006289,0.006289,808768
2/11/2017,0.00629,0.006395,0.006273,0.006333,0.006333,334607
2/12/2017,0.006328,0.006364,0.006269,0.006269,0.006269,230479
2/13/2017,0.006267,0.006338,0.006228,0.006251,0.006251,462843
2/14/2017,0.00624,0.006352,0.00624,0.006278,0.006278,671150
2/15/2017,0.006279,0.006302,0.006095,0.006147,0.006147,813299
2/16/2017,0.006138,0.006244,0.005988,0.006027,0.006027,1355840
2/17/2017,0.005939,0.006095,0.005872,0.005935,0.005935,1160600
2/18/2017,0.005949,0.006014,0.005427,0.005569,0.005569,1866850
2/19/2017,0.005589,0.005892,0.00557,0.005878,0.005878,896856
2/20/2017,0.005879,0.005949,0.00574,0.005873,0.005873,880117
